piece_id,melody_kor_corr_64,bass_kor_corr_64,ratio_kor_corr_64,melody_ioi_corr,acc_ioi_corr,cloud_diameter_corr,cloud_momentum_corr,tensile_strain_corr,dyn_corr
RANDOM_P01_D0,-0.27747729776674446,,,0.08120208290410355,,0.7130138494915157,0.2640099790944658,0.7724893940904166,-0.0105316398800353
RANDOM_P01_D1,0.09510390995456645,,,0.2833461298411652,,0.6265941206290093,0.1302412923341939,0.6530035185827598,0.13180685892067104
RANDOM_P01_D2,0.5262611922655323,,,0.1226064008708837,0.18914037907621964,0.3101751224384006,-0.019992801862483058,0.2651758845379002,0.09118620166285767
RANDOM_P02_D0,0.05300079842804643,0.2858590976988573,0.13550346749788975,0.07233678705304623,,0.32551284151483384,0.16591577858049403,0.425827692603618,0.4062921120130955
RANDOM_P02_D1,0.21794340008344973,0.37473083076527447,0.3733168982469944,0.22013375607373767,0.22010902048287126,0.45528529297949055,0.06960221074651042,0.47376733690514905,0.05470930898819089
RANDOM_P02_D2,0.5534900887884739,0.8183173754598049,0.6072822184855462,0.29608933287374944,0.21195393465528595,0.013647821035769886,0.0832825398085881,0.3506605432641516,0.05682235331535316
RANDOM_P03_D0,0.06768634738998953,0.44429261501745915,0.09459289263703934,0.28070161436640667,0.15330599292456168,-0.05648954749137054,0.16211412384168514,-0.08576513472083606,0.1641460370631989
RANDOM_P03_D1,0.04031606284422167,0.4965358431000873,0.1620326195440718,0.03310829957824651,0.06251264900631046,-0.054021628324318276,0.09248549663951214,0.06893448944660736,0.3289972770687209
RANDOM_P03_D2,-0.00855013243156867,0.7935284065563997,0.09159486447395476,0.2258289629644826,0.2046749075646748,0.17954482030052607,0.11668371443653522,0.4758963379476081,0.25266700429002403
RANDOM_P04_D0,-0.005926891410632045,0.5346285551778774,0.09193658866457152,0.12284579052483978,0.0012635620297405323,0.09079999090024281,0.11915844537560252,-0.38875672195480904,0.6948897561436729
RANDOM_P04_D1,0.07351385234748956,0.2842868432109785,0.10073062536818858,-0.08842123368789341,-0.019046336202634753,0.2551401835844518,0.0983442914561924,0.5947784622823015,0.3482793811493319
RANDOM_P04_D2,0.09861940094218323,0.41649951914794786,0.11307254796130119,-0.0794983105342254,0.11098201248466513,0.24663145414618262,0.1475504341545227,0.361160153600041,0.15504930468313324
RANDOM_P05_D0,0.2064396598611403,0.044642085431495344,0.21945407277897264,0.06674023362962411,0.13816452848597538,0.04169959763266852,0.0925644645095138,-0.10572705237822552,0.13401061969613998
RANDOM_P05_D1,-0.029103045757542634,0.077906975587208,0.07419308962967236,-0.1747212739626561,0.11177373792517865,-0.03725579744243132,0.09081794921400084,-0.24658713258971596,0.5754230999592487
RANDOM_P05_D2,0.2821378037485988,0.4532677454079284,0.2870793763000093,-0.02189535529884715,0.20801209741656618,0.49390474025987163,0.1535104571895751,0.6547768933221557,0.06592287005954948
RANDOM_P06_D0,0.0933445818784925,0.41209102220095,0.19178408499363345,0.11667996463102369,0.13261083266466134,-0.1265802441229499,0.10248556533774046,-0.35762811272635964,0.6717926520475522
