mds_file,title,composer,path_in_mpteval,path_in_maestro,duration_sec
ChenGuang03M,Piano_Sonatas_18-1,Beethoven,Beethoven/Piano_Sonatas/18-1/ChenGuang03M.mid,2014/MIDI-UNPROCESSED_04-05_R1_2014_MID--AUDIO_04_R1_2014_wav--2.midi,1206.218078
KOLESO06M_18-1,Piano_Sonatas_18-1,Beethoven,Beethoven/Piano_Sonatas/18-1/KOLESO06M.mid,2004/MIDI-Unprocessed_XP_15_R1_2004_03_ORIG_MID--AUDIO_15_R1_2004_03_Track03_wav.midi,1118.901614
LeungR02M,Piano_Sonatas_18-1,Beethoven,Beethoven/Piano_Sonatas/18-1/LeungR02M.mid,2017/MIDI-Unprocessed_066_PIANO066_MID--AUDIO-split_07-07-17_Piano-e_3-02_wav--2.midi,353.245064
Levitsky05M,Piano_Sonatas_18-1,Beethoven,Beethoven/Piano_Sonatas/18-1/Levitsky05M.mid,2008/MIDI-Unprocessed_09_R1_2008_01-05_ORIG_MID--AUDIO_09_R1_2008_wav--2.midi,351.6703214
ZhangH05M,Piano_Sonatas_18-1,Beethoven,Beethoven/Piano_Sonatas/18-1/ZhangH05M.mid,2008/MIDI-Unprocessed_18_R1_2008_01-04_ORIG_MID--AUDIO_18_R1_2008_wav--2.midi,352.3474041
ChenGuang06M,Piano_Sonatas_18-4,Beethoven,Beethoven/Piano_Sonatas/18-4/ChenGuang06M.mid,2014/MIDI-UNPROCESSED_04-05_R1_2014_MID--AUDIO_04_R1_2014_wav--2.midi,1206.218078
KOLESO06M_18-4,Piano_Sonatas_18-4,Beethoven,Beethoven/Piano_Sonatas/18-4/KOLESO06M.mid,2004/MIDI-Unprocessed_XP_15_R1_2004_03_ORIG_MID--AUDIO_15_R1_2004_03_Track03_wav.midi,1118.901614
Chon08M,Polonaises_53,Chopin,Chopin/Polonaises/53/Chon08M.mid,2011/MIDI-Unprocessed_22_R2_2011_MID--AUDIO_R2-D5_11_Track11_wav.midi,379.9315111
YeF11M,Polonaises_53,Chopin,Chopin/Polonaises/53/YeF11M.mid,2013/ORIG-MIDI_03_7_8_13_Group__MID--AUDIO_19_R2_2013_wav--4.midi,456.1266806
KaszoS16M,Sonata_2_4th,Chopin,Chopin/Sonata_2/4th/KaszoS16M.mid,2018/MIDI-Unprocessed_Recital5-7_MID--AUDIO_06_R1_2018_wav--3.midi,1461.012161
MunA12M,Pour_le_Piano_1,Debussy,Debussy/Pour_le_Piano/1/MunA12M.mid,2015/MIDI-Unprocessed_R2_D2-12-13-15_mid--AUDIO-from_mp3_12_R2_2015_wav--3.midi,738.9583333
LeungM06M,Transcendental_Etudes_10,Liszt,Liszt/Transcendental_Etudes/10/LeungM06M.mid,2018/MIDI-Unprocessed_Recital17-19_MID--AUDIO_19_R1_2018_wav--3.midi,235.2241238
Huang18M,Transcendental_Etudes_11,Liszt,Liszt/Transcendental_Etudes/11/Huang18M.mid,2008/MIDI-Unprocessed_04_R3_2008_01-07_ORIG_MID--AUDIO_04_R3_2008_wav--7.midi,607.4793605
Nikiforov14M,Preludes_op_23_6,Rachmaninoff,Rachmaninoff/Preludes_op_23/6/Nikiforov14M.mid,2008/MIDI-Unprocessed_12_R3_2008_01-04_ORIG_MID--AUDIO_12_R3_2008_wav--3.midi,167.4931552
Huang10M,Impromptu_op.90_D.899_4,Schubert,Schubert/Impromptu_op.90_D.899/4_no_repeat/Huang10M.mid,2008/MIDI-Unprocessed_04_R2_2008_01-04_ORIG_MID--AUDIO_04_R2_2008_wav--3.midi,400.7114048
Lin11M,Impromptu_op.90_D.899_4,Schubert,Schubert/Impromptu_op.90_D.899/4_no_repeat/Lin11M.mid,2008/MIDI-Unprocessed_10_R2_2008_01-05_ORIG_MID--AUDIO_10_R2_2008_wav--4.midi,342.5049994
LuoJ09M,Impromptu_op.90_D.899_4,Schubert,Schubert/Impromptu_op.90_D.899/4_no_repeat/LuoJ09M.mid,2015/MIDI-Unprocessed_R2_D1-2-3-6-7-8-11_mid--AUDIO-from_mp3_06_R2_2015_wav--1.midi,354.1510417
WongWY08M,Impromptu_op.90_D.899_4,Schubert,Schubert/Impromptu_op.90_D.899/4_no_repeat/WongWY08M.mid,2015/MIDI-Unprocessed_R2_D2-19-21-22_mid--AUDIO-from_mp3_19_R2_2015_wav--3.midi,366.94375
BuiJL06M,Piano_Sonatas_664-1,Schubert,Schubert/Piano_Sonatas/664-1/BuiJL06M.mid,2017/MIDI-Unprocessed_071_PIANO071_MID--AUDIO-split_07-08-17_Piano-e_1-04_wav--2.midi,342.1617849
KabuliL10M,Piano_Sonatas_664-1,Schubert,Schubert/Piano_Sonatas/664-1/KabuliL10M.mid,2017/MIDI-Unprocessed_078_PIANO078_MID--AUDIO-split_07-09-17_Piano-e_1-02_wav--2.midi,903.5148035
